season,date,hour,price
autumn,2024-09-01,0,93.76
autumn,2024-09-01,1,85.98
autumn,2024-09-01,2,80.37
autumn,2024-09-01,3,80.14
autumn,2024-09-01,4,79.87
autumn,2024-09-01,5,76.57
autumn,2024-09-01,6,79.49
autumn,2024-09-01,7,73.1
autumn,2024-09-01,8,60.63
autumn,2024-09-01,9,41.27
autumn,2024-09-01,10,9.32
autumn,2024-09-01,11,2.62
autumn,2024-09-01,12,-3.39
autumn,2024-09-01,13,-2.72
autumn,2024-09-01,14,-3.44
autumn,2024-09-01,15,3.58
autumn,2024-09-01,16,16.99
autumn,2024-09-01,17,78.28
autumn,2024-09-01,18,109.11
autumn,2024-09-01,19,131.6
autumn,2024-09-01,20,123.91
autumn,2024-09-01,21,107.63
autumn,2024-09-01,22,102.02
autumn,2024-09-01,23,91.5
autumn,2024-09-23,0,90.8
autumn,2024-09-23,1,84.08
autumn,2024-09-23,2,85.2
autumn,2024-09-23,3,87.15
autumn,2024-09-23,4,86.93
autumn,2024-09-23,5,97.3
autumn,2024-09-23,6,133.4
autumn,2024-09-23,7,203.73
autumn,2024-09-23,8,151.33
autumn,2024-09-23,9,109.99
autumn,2024-09-23,10,94.66
autumn,2024-09-23,11,80.16
autumn,2024-09-23,12,78.94
autumn,2024-09-23,13,76.55
autumn,2024-09-23,14,76.77
autumn,2024-09-23,15,80.98
autumn,2024-09-23,16,102.25
autumn,2024-09-23,17,136.01
autumn,2024-09-23,18,240.26
autumn,2024-09-23,19,328.39
autumn,2024-09-23,20,178.64
autumn,2024-09-23,21,116.71
autumn,2024-09-23,22,100.93
autumn,2024-09-23,23,91.54
autumn,2024-10-11,0,3.27
autumn,2024-10-11,1,3.27
autumn,2024-10-11,2,3.28
autumn,2024-10-11,3,3.27
autumn,2024-10-11,4,3.27
autumn,2024-10-11,5,3.28
autumn,2024-10-11,6,33.9
autumn,2024-10-11,7,58.89
autumn,2024-10-11,8,79.63
autumn,2024-10-11,9,53.72
autumn,2024-10-11,10,49.32
autumn,2024-10-11,11,24.66
autumn,2024-10-11,12,21.04
autumn,2024-10-11,13,33.92
autumn,2024-10-11,14,33.78
autumn,2024-10-11,15,39.97
autumn,2024-10-11,16,40.07
autumn,2024-10-11,17,66.59
autumn,2024-10-11,18,125.94
autumn,2024-10-11,19,161.97
autumn,2024-10-11,20,120.0
autumn,2024-10-11,21,99.79
autumn,2024-10-11,22,98.41
autumn,2024-10-11,23,87.83
autumn,2024-10-26,0,115.29
autumn,2024-10-26,1,109.64
autumn,2024-10-26,2,106.95
autumn,2024-10-26,3,107.79
autumn,2024-10-26,4,105.7
autumn,2024-10-26,5,106.82
autumn,2024-10-26,6,113.93
autumn,2024-10-26,7,125.71
autumn,2024-10-26,8,126.0
autumn,2024-10-26,9,117.57
autumn,2024-10-26,10,101.39
autumn,2024-10-26,11,81.48
autumn,2024-10-26,12,68.35
autumn,2024-10-26,13,63.3
autumn,2024-10-26,14,64.55
autumn,2024-10-26,15,81.44
autumn,2024-10-26,16,100.6
autumn,2024-10-26,17,125.73
autumn,2024-10-26,18,150.9
autumn,2024-10-26,19,118.74
autumn,2024-10-26,20,96.48
autumn,2024-10-26,21,88.76
autumn,2024-10-26,22,87.5
autumn,2024-10-26,23,76.63
autumn,2024-11-11,0,109.54
autumn,2024-11-11,1,103.59
autumn,2024-11-11,2,99.91
autumn,2024-11-11,3,97.77
autumn,2024-11-11,4,97.41
autumn,2024-11-11,5,103.83
autumn,2024-11-11,6,115.67
autumn,2024-11-11,7,128.35
autumn,2024-11-11,8,135.06
autumn,2024-11-11,9,132.91
autumn,2024-11-11,10,128.49
autumn,2024-11-11,11,124.2
autumn,2024-11-11,12,119.83
autumn,2024-11-11,13,128.98
autumn,2024-11-11,14,130.42
autumn,2024-11-11,15,139.03
autumn,2024-11-11,16,140.94
autumn,2024-11-11,17,154.63
