scenario_id,sample_type,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60
1,in_sample,526.8889203699516,538.2745278720266,537.605963213187,533.8165306383753,532.2491349591322,530.7821218080629,529.6848994143022,527.052911993067,530.5872023973606,541.1321713049507,523.9085292385706,509.19923464930656,484.71998223653725,496.84954584154366,500.3540719462101,507.4278171692689,487.41484183218034,512.4041155525023,503.88020283846726,506.23508413802483,518.196469387522,504.378752806377,496.73021178719966,499.2386166316119,534.2386166316119,538.4543630315402,560.9434191403702,577.8228431730575,582.9749836839808,569.1262428811513,583.9627934326065,562.9892486495339,585.4015003810132,588.2015746960687,553.2015746960687,548.434489365623,557.5897588585442,554.2714246359875,564.2815059898975,552.3811676419253,534.0974144228989,533.0971787802324,533.5390981222912,528.6617172074187,545.8437932604095,533.9408900084627,538.3252085111156,539.2767881074064,517.4827647775013,499.01634220614216,499.183096433623,526.9198964152405,535.0296737818238,510.87078622979897,475.87078622979897,486.1335365318603,484.78654777086547,500.76427134401064,488.43422045405043,493.3371954240698
2,in_sample,426.9613876851091,422.2729972653083,424.55154017677836,432.75865281580826,442.7158249329082,453.8226862257072,448.94053521422904,442.46761011692513,454.4792724545253,451.8010119061827,433.9414033794518,418.07538238340305,405.2030503793805,412.16330079613317,414.1572611011211,423.82405605806986,417.8425190093584,420.0620746844324,428.8203401999751,424.4894886438917,430.88434196969547,421.6173787947624,416.5346249428514,411.1902944268748,394.44853938862826,401.26615411962644,394.6945213567883,394.8694390189759,401.59989224365864,407.85132870807786,417.1667202336969,415.78792345056496,409.8617470819468,408.74569212925724,385.12301005384484,364.8634354399216,346.34564086695997,332.3841852805392,337.9810244546673,325.3043176796265,320.01004192307505,338.19923809207995,333.21154249721997,343.5367604557592,330.4661129356209,327.58998712547407,314.2896783567259,309.54321529411806,321.3075292185216,297.12504329382875,303.20697430347076,306.53527273612264,298.21717335636754,277.9723633949292,278.9821765029233,271.5692785760301,274.82674553499595,275.13267557232416,297.55758005081697,294.20660126619464
3,in_sample,475.6055177527237,474.3623674847487,474.41551500744913,498.4786450501472,466.00409487563013,437.98245445348863,430.37806281870303,430.581453165829,440.24291511252517,446.8661358849098,441.48669310458183,455.7533048099665,470.17604045410474,472.7528500919067,486.2300561067225,490.04708979477226,482.1863274198119,491.95576316581196,493.5043468819134,493.5231047364762,514.1444547471302,479.832244947569,459.98466656533503,443.36568059609385,438.2800315301306,434.71551715340615,413.6129580845835,399.82074563223193,387.76896213290195,422.1728994219644,447.3972866904245,441.6327948428394,436.5426287785442,420.4537728179081,393.73994703275434,392.103624423035,378.13369665761866,376.9457892143505,354.54290732774183,343.87526491139823,345.9560442456379,351.082978614613,356.9275860370012,338.4407402588027,350.4063404807006,339.2033767282747,348.06338753277697,347.91444606012226,328.645021073031,324.21825320889434,329.33334559778706,337.9148609244314,335.94103036020954,357.3859348286243,371.4910856224361,367.8979279928396,378.3996333627568,405.4727421553914,432.9195265663538,415.7275282348388
4,in_sample,474.1499159289864,447.9460951193943,430.42816625007663,431.99559563029794,445.71886839241523,437.87394749850444,459.86155790857066,449.8165519973755,446.4843878770572,431.37031379233565,445.2409780762856,474.60612667290957,449.9406892198028,445.094420258917,462.8013381176175,442.54410081765906,450.47767551525425,467.5782863181602,468.67348971915595,476.3771727123178,501.0298061181043,528.3077778755204,527.4402368930376,519.9869470028484,507.10722544781663,520.7847235538186,501.57986574474506,498.0438292128682,499.48148600623074,492.43945082816816,496.3569345384359,531.3569345384359,529.6545542735843,523.5588754896008,537.7735210309468,541.127692048984,561.2783928459434,563.5840195234194,560.106094611825,535.1339461785012,512.4576604651369,486.7578787991574,492.0686271271368,472.99713440899234,490.5752175318637,490.99866943984705,487.5800525724237,475.766081519563,484.47770399534585,473.21473452175206,459.41944246477374,476.0563413532486,481.0210376040989,477.73202560862313,486.71208739489515,486.8371336184449,492.1993177247685,480.76344709151215,509.74902761626083,501.63434806879366
5,in_sample,327.14357927912164,313.23180899963086,317.35610879544816,330.2730649144781,339.5135897995428,366.3438180738385,355.6556676314893,336.347578112609,322.42688659367735,331.6730825253555,338.6440036051268,340.0755968401906,324.3541981526908,335.09034025929765,317.9444733721901,334.1697675254667,369.1697675254667,374.3000835774684,382.4635974766768,375.56356071213895,350.2205742169235,341.7825031345004,326.48196975911793,306.2239056893077,330.33694487724676,334.1570201296076,339.4726462582034,335.1463331454559,332.7261379912478,346.22984754259846,345.77712788086546,353.2068430132117,350.4627828433815,345.6726423731328,325.9758440547067,298.2873571815669,294.62549056663727,295.4164442545425,277.4106237406194,276.92797563013454,277.68051151200154,247.49639942717025,234.68465419445724,240.3863487067538,245.8051709182942,229.65372208869755,231.87199479569384,246.18569595074044,257.06471737661303,255.73071635841794,249.17904797187785,240.3682251911948,246.91770215193,249.64915777593043,258.46081386136126,260.3070472450574,271.7697425499216,273.0940380113294,284.07968003717303,296.27119882230596
6,in_sample,503.23082446096953,528.1782585996,517.037649190349,534.8882948452306,535.7092030747287,550.331036018989,561.366937550487,543.6714409545804,551.3710763473608,565.4508286237309,565.1686550533412,561.7202250710485,539.7169303062253,549.2875755379384,552.2100526873332,539.299477881392,534.7377179251224,536.9007634129113,529.0798623661739,529.1173421513123,504.61828509046404,523.5101888463914,523.7329188359195,508.3419697450551,473.90604586762754,488.313935042095,496.127216780226,499.0768167687927,511.16788878649714,523.2204663346511,525.9425993154006,522.3836002737911,516.5436178931775,522.4368062278503,541.9952454761612,540.5546010777376,561.2252847605718,566.4494193889055,571.7790929481388,600.0,600.0,600.0,588.833408782864,600.0,598.8489648823206,595.6640883657715,565.4346105779862,570.0026821217397,554.8357267083027,560.5512803079605,544.2893684426328,569.4571661717602,577.1792016520344,600.0,585.6776635591049,600.0,574.7620261615405,577.6750828321806,568.8323591529933,562.5609676594883
7,in_sample,516.4183420664704,551.4183420664704,559.6906910953533,544.2069018046042,543.6200500541573,544.5644139791074,556.4101674217859,582.1631954613018,587.6029189992108,580.0458827570294,591.0650649464043,581.2895271903242,566.8228022464777,542.1840780390875,520.2722805160819,507.7220483303421,491.2329915825299,495.61830296577597,478.8266774042395,443.8266774042395,429.21191255998696,422.6058774918871,414.1295846616796,435.40293017200815,426.81333434196006,439.14626282674885,438.8805064312168,438.2882402718004,426.5929162279279,425.76995910579717,415.0586133292333,417.4389537287973,414.13145887206565,400.90666780738326,414.7931885631916,420.76895528349155,414.49607700550007,416.5329796639944,415.35946436296695,403.2131912412811,404.2001384475774,395.50597388027415,382.27690018159274,359.55815755786136,354.5376546083205,362.47524384249266,352.7500128951886,387.7500128951886,400.14961204632687,418.41023390357356,429.5436360726062,455.48374572174623,444.46571795313065,409.46571795313065,403.21995943619027,411.03501949385577,413.15625709832744,417.0128736518764,435.50561368925463,440.85441973172965
8,in_sample,391.3885400255916,377.59933080371246,353.08416414808636,346.60300600785763,358.8297003858297,361.5874176623431,383.4354714449769,393.94885971482546,401.2843670586621,427.6414533758001,426.2814150457551,427.16447447482443,427.0039725715825,448.6169868081522,448.6522012385795,439.57631800150006,447.80377553297996,436.3761381781816,443.84473935477655,449.63851243276224,446.9868750834713,454.9082370926869,434.07917806836997,436.3606477669198,429.88193238158556,464.88193238158556,467.0634833565485,458.71399465958035,439.4177703548372,457.69345710995697,452.79299903662405,441.7140700975682,446.422259093695,455.51832273337413,464.39366379830756,464.6701697211386,466.8988316375527,470.1473506970825,474.85689841588675,480.8052911585075,496.12762967678515,496.917437745147,485.482192023522,483.4621081800655,494.0150396423555,469.0036482249676,444.07311748976014,456.9289831892527,478.2107026251713,460.49790213489865,461.90433192655917,456.31070034572093,452.6590787743382,456.936512896928,438.8363296907775,423.3352846838839,419.1177682629868,417.0825098924685,401.31913841289014,412.37420585993874
9,in_sample,426.89112121387063,422.62447489817674,411.44299500512943,414.7874698182195,414.36396157952925,430.9699080678111,417.96924463884324,446.26187264529693,464.1087498293069,461.25941900570683,486.4289115726335,475.4651182418317,478.3433753006449,460.4727805786697,486.32475016688943,463.26133478375573,443.0951510360855,434.20916753722867,452.72169898269493,466.0895273877993,467.7982361830068,482.0632031393489,480.4474109933928,486.36141390314475,509.48557896233035,506.03291473747134,495.3036980466675,501.8889020472453,512.252742352127,513.7990106721609,527.8463490640453,525.0287211567761,526.814365290945,532.0584136468356,536.0814681793598,558.6672709894037,563.8410584894084,559.5864286005095,566.9781724213836,581.1020841851654,591.9413803664286,600.0,579.0272979908035,544.1321213550389,561.9858248957275,568.1298291426134,567.8277453099996,577.5481276989218,600.0,600.0,600.0,587.585841140343,576.9907698987647,543.5811043596168,552.4502929940057,567.971073758462,584.6335664051431,594.089593003018,591.9326569878356,584.0327725210935
10,in_sample,502.60112224796376,513.2986373795366,516.7336066595503,525.2884634605855,499.533293603351,478.7633599986286,488.0483761622195,453.0483761622195,470.19318716861676,444.6667471592977,456.4735756462474,444.03339089964993,458.7180429120521,493.7180429120521,461.89355609035636,471.62883616040546,446.3145581700931,452.28932308113815,449.3945127914116,451.2114653058774,438.4478574372821,449.3754329702331,429.09842323864774,446.4813449192301,440.7518406266875,421.11417114304425,443.44328666981403,442.5004895304859,469.20739311667427,486.3063789270611,475.132339060051,473.9424818469365,475.6370130022266,497.00525780203674,503.13050578917637,505.5986024845268,502.80028826515047,502.09248976318554,520.356778962682,520.4086538738467,514.8786920756722,506.9755917570806,499.22287960337434,479.59353565877564,469.08828134220494,490.06616520130945,487.1737755533645,497.0355389131499,462.3329476625382,470.2893059880605,468.03036812689294,461.2902078064258,463.82364721032167,456.88209365695326,427.1478447785163,440.0593159549234,443.46156181379814,439.0663674473282,425.5397722383141,404.96176701281416
