scenario_id,sample_type,F_up_1,F_up_2,F_up_3,F_up_4,F_up_5,F_up_6,F_up_7,F_up_8,F_up_9,F_up_10,F_up_11,F_up_12,F_up_13,F_up_14,F_up_15,F_up_16,F_up_17,F_up_18,F_up_19,F_up_20,F_up_21,F_up_22,F_up_23,F_up_24,F_up_25,F_up_26,F_up_27,F_up_28,F_up_29,F_up_30,F_up_31,F_up_32,F_up_33,F_up_34,F_up_35,F_up_36,F_up_37,F_up_38,F_up_39,F_up_40,F_up_41,F_up_42,F_up_43,F_up_44,F_up_45,F_up_46,F_up_47,F_up_48,F_up_49,F_up_50,F_up_51,F_up_52,F_up_53,F_up_54,F_up_55,F_up_56,F_up_57,F_up_58,F_up_59,F_up_60
1,in_sample,306.8889203699516,318.2745278720266,317.605963213187,313.8165306383753,312.2491349591322,310.7821218080629,309.6848994143022,307.052911993067,310.58720239736056,321.1321713049507,303.9085292385706,289.19923464930656,264.71998223653725,276.84954584154366,280.3540719462101,287.4278171692689,267.41484183218034,292.4041155525023,283.88020283846726,286.23508413802483,298.19646938752203,284.378752806377,276.73021178719966,279.2386166316119,314.2386166316119,318.4543630315402,340.9434191403702,357.82284317305755,362.9749836839808,349.12624288115126,363.96279343260653,342.9892486495339,365.4015003810132,368.20157469606875,333.20157469606875,328.434489365623,337.5897588585442,334.2714246359875,344.2815059898975,332.38116764192534,314.09741442289885,313.0971787802324,313.5390981222912,308.66171720741875,325.8437932604095,313.9408900084627,318.32520851111565,319.27678810740645,297.4827647775013,279.01634220614216,279.183096433623,306.9198964152405,315.0296737818238,290.87078622979897,255.87078622979897,266.1335365318603,264.78654777086547,280.76427134401064,268.43422045405043,273.3371954240698
2,in_sample,206.96138768510912,202.27299726530828,204.55154017677836,212.75865281580826,222.71582493290822,233.82268622570717,228.94053521422904,222.46761011692513,234.4792724545253,231.80101190618268,213.9414033794518,198.07538238340305,185.2030503793805,192.16330079613317,194.1572611011211,203.82405605806986,197.8425190093584,200.0620746844324,208.82034019997508,204.48948864389172,210.88434196969547,201.61737879476237,196.5346249428514,191.1902944268748,174.44853938862826,181.26615411962644,174.6945213567883,174.86943901897592,181.59989224365864,187.85132870807786,197.16672023369688,195.78792345056496,189.86174708194682,188.74569212925724,165.12301005384484,144.8634354399216,126.34564086695997,112.38418528053921,117.9810244546673,105.30431767962648,100.01004192307505,118.19923809207995,113.21154249721997,123.53676045575918,110.46611293562091,107.58998712547407,94.28967835672591,89.54321529411806,101.30752921852161,77.12504329382875,83.20697430347076,86.53527273612264,78.21717335636754,57.972363394929175,58.98217650292332,51.569278576030115,54.82674553499595,55.13267557232416,77.55758005081697,74.20660126619464
3,in_sample,255.6055177527237,254.3623674847487,254.41551500744913,278.4786450501472,246.00409487563013,217.98245445348863,210.37806281870303,210.58145316582898,220.24291511252517,226.8661358849098,221.48669310458183,235.7533048099665,250.17604045410474,252.75285009190668,266.2300561067225,270.04708979477226,262.1863274198119,271.95576316581196,273.5043468819134,273.5231047364762,294.1444547471302,259.832244947569,239.98466656533503,223.36568059609385,218.2800315301306,214.71551715340615,193.6129580845835,179.82074563223193,167.76896213290195,202.17289942196442,227.3972866904245,221.63279484283942,216.5426287785442,200.4537728179081,173.73994703275434,172.103624423035,158.13369665761866,156.9457892143505,134.54290732774183,123.87526491139823,125.95604424563788,131.082978614613,136.92758603700122,118.44074025880269,130.40634048070058,119.20337672827469,128.06338753277697,127.91444606012226,108.64502107303099,104.21825320889434,109.33334559778706,117.91486092443142,115.94103036020954,137.38593482862427,151.49108562243612,147.89792799283958,158.3996333627568,185.47274215539142,212.9195265663538,195.72752823483881
4,in_sample,254.1499159289864,227.94609511939427,210.42816625007663,211.99559563029794,225.71886839241523,217.87394749850444,239.86155790857066,229.81655199737548,226.4843878770572,211.37031379233565,225.24097807628561,254.60612667290957,229.94068921980278,225.094420258917,242.8013381176175,222.54410081765906,230.47767551525425,247.57828631816022,248.67348971915595,256.3771727123178,281.0298061181043,308.3077778755204,307.44023689303765,299.9869470028484,287.10722544781663,300.7847235538186,281.57986574474506,278.0438292128682,279.48148600623074,272.43945082816816,276.3569345384359,311.3569345384359,309.65455427358427,303.55887548960084,317.77352103094677,321.12769204898404,341.27839284594336,343.58401952341944,340.10609461182503,315.1339461785012,292.4576604651369,266.7578787991574,272.0686271271368,252.99713440899234,270.5752175318637,270.99866943984705,267.5800525724237,255.766081519563,264.47770399534585,253.21473452175206,239.41944246477374,256.0563413532486,261.0210376040989,257.73202560862313,266.71208739489515,266.8371336184449,272.1993177247685,260.76344709151215,289.74902761626083,281.63434806879366
5,in_sample,107.14357927912164,93.23180899963086,97.35610879544816,110.27306491447808,119.51358979954279,146.34381807383852,135.65566763148928,116.34757811260903,102.42688659367735,111.67308252535548,118.64400360512678,120.0755968401906,104.3541981526908,115.09034025929765,97.94447337219009,114.16976752546668,149.16976752546668,154.3000835774684,162.4635974766768,155.56356071213895,130.22057421692352,121.78250313450042,106.48196975911793,86.22390568930768,110.33694487724676,114.15702012960759,119.47264625820338,115.14633314545591,112.72613799124781,126.22984754259846,125.77712788086546,133.2068430132117,130.4627828433815,125.67264237313282,105.97584405470673,78.2873571815669,74.62549056663727,75.41644425454251,57.41062374061943,56.92797563013454,57.680511512001544,27.496399427170246,14.684654194457238,20.386348706753807,25.80517091829421,9.653722088697549,11.871994795693837,26.18569595074044,37.06471737661303,35.730716358417936,29.17904797187785,20.368225191194796,26.91770215193,29.649157775930433,38.46081386136126,40.30704724505739,51.7697425499216,53.09403801132942,64.07968003717303,76.27119882230596
6,in_sample,283.23082446096953,308.1782585996,297.03764919034904,314.8882948452306,315.70920307472875,330.33103601898904,341.366937550487,323.67144095458036,331.3710763473608,345.4508286237309,345.16865505334124,341.7202250710485,319.7169303062253,329.28757553793844,332.21005268733325,319.299477881392,314.7377179251224,316.90076341291126,309.07986236617387,309.1173421513123,284.61828509046404,303.51018884639143,303.73291883591946,288.3419697450551,253.90604586762754,268.313935042095,276.127216780226,279.0768167687927,291.16788878649714,303.22046633465106,305.94259931540057,302.3836002737911,296.5436178931775,302.4368062278503,321.99524547616124,320.55460107773763,341.22528476057175,346.44941938890554,351.7790929481388,380.0,380.0,380.0,368.833408782864,380.0,378.8489648823206,375.6640883657715,345.4346105779862,350.00268212173967,334.8357267083027,340.5512803079605,324.28936844263285,349.45716617176015,357.1792016520344,380.0,365.6776635591049,380.0,354.76202616154046,357.6750828321806,348.83235915299326,342.56096765948826
7,in_sample,296.41834206647036,331.41834206647036,339.69069109535326,324.2069018046042,323.62005005415733,324.56441397910737,336.4101674217859,362.1631954613018,367.60291899921083,360.0458827570294,371.0650649464043,361.2895271903242,346.82280224647775,322.18407803908747,300.2722805160819,287.7220483303421,271.2329915825299,275.61830296577597,258.8266774042395,223.8266774042395,209.21191255998696,202.6058774918871,194.1295846616796,215.40293017200815,206.81333434196006,219.14626282674885,218.88050643121682,218.28824027180042,206.5929162279279,205.76995910579717,195.0586133292333,197.4389537287973,194.13145887206565,180.90666780738326,194.79318856319162,200.76895528349155,194.49607700550007,196.5329796639944,195.35946436296695,183.2131912412811,184.2001384475774,175.50597388027415,162.27690018159274,139.55815755786136,134.5376546083205,142.47524384249266,132.7500128951886,167.7500128951886,180.14961204632687,198.41023390357356,209.5436360726062,235.48374572174623,224.46571795313065,189.46571795313065,183.21995943619027,191.03501949385577,193.15625709832744,197.01287365187642,215.50561368925463,220.85441973172965
8,in_sample,171.38854002559162,157.59933080371246,133.08416414808636,126.60300600785763,138.8297003858297,141.5874176623431,163.43547144497688,173.94885971482546,181.2843670586621,207.6414533758001,206.28141504575512,207.16447447482443,207.0039725715825,228.6169868081522,228.6522012385795,219.57631800150006,227.80377553297996,216.37613817818158,223.84473935477655,229.63851243276224,226.98687508347132,234.90823709268687,214.07917806836997,216.36064776691978,209.88193238158556,244.88193238158556,247.0634833565485,238.71399465958035,219.41777035483722,237.69345710995697,232.79299903662405,221.7140700975682,226.422259093695,235.51832273337413,244.39366379830756,244.67016972113862,246.8988316375527,250.14735069708252,254.85689841588675,260.8052911585075,276.12762967678515,276.917437745147,265.482192023522,263.4621081800655,274.0150396423555,249.0036482249676,224.07311748976014,236.92898318925268,258.2107026251713,240.49790213489865,241.90433192655917,236.31070034572093,232.65907877433818,236.93651289692798,218.83632969077752,203.3352846838839,199.11776826298677,197.08250989246852,181.31913841289014,192.37420585993874
9,in_sample,206.89112121387063,202.62447489817674,191.44299500512943,194.7874698182195,194.36396157952925,210.9699080678111,197.96924463884324,226.26187264529693,244.10874982930687,241.25941900570683,266.4289115726335,255.4651182418317,258.3433753006449,240.4727805786697,266.32475016688943,243.26133478375573,223.0951510360855,214.20916753722867,232.72169898269493,246.0895273877993,247.7982361830068,262.0632031393489,260.4474109933928,266.36141390314475,289.48557896233035,286.03291473747134,275.3036980466675,281.8889020472453,292.25274235212703,293.7990106721609,307.8463490640453,305.0287211567761,306.81436529094503,312.05841364683556,316.08146817935983,338.66727098940373,343.8410584894084,339.5864286005095,346.97817242138365,361.1020841851654,371.9413803664286,380.0,359.0272979908035,324.13212135503886,341.98582489572755,348.1298291426134,347.8277453099996,357.5481276989218,380.0,380.0,380.0,367.58584114034295,356.9907698987647,323.5811043596168,332.45029299400574,347.971073758462,364.63356640514314,374.08959300301797,371.93265698783557,364.03277252109353
10,in_sample,282.60112224796376,293.29863737953656,296.73360665955033,305.2884634605855,279.533293603351,258.7633599986286,268.0483761622195,233.04837616221948,250.19318716861676,224.6667471592977,236.4735756462474,224.03339089964993,238.7180429120521,273.7180429120521,241.89355609035636,251.62883616040546,226.3145581700931,232.28932308113815,229.39451279141161,231.21146530587743,218.4478574372821,229.37543297023308,209.09842323864774,226.48134491923008,220.7518406266875,201.11417114304425,223.44328666981403,222.50048953048588,249.20739311667427,266.3063789270611,255.13233906005098,253.94248184693652,255.63701300222658,277.00525780203674,283.13050578917637,285.5986024845268,282.80028826515047,282.09248976318554,300.35677896268203,300.4086538738467,294.87869207567223,286.9755917570806,279.22287960337434,259.59353565877564,249.08828134220494,270.06616520130945,267.1737755533645,277.0355389131499,242.33294766253817,250.2893059880605,248.03036812689294,241.29020780642583,243.82364721032167,236.88209365695326,207.1478447785163,220.05931595492342,223.46156181379814,219.06636744732822,205.53977223831407,184.96176701281416
11,in_sample,66.38596267663445,51.919438395495376,55.583883721536154,36.68952864772666,30.15915368268125,18.980521423901706,11.983443725717734,10.982744814449859,0.0,22.024506404226173,28.93047167174393,54.05435406909271,51.813234502000455,44.13017502984093,68.74799363274332,60.65515727450753,58.15906896665979,68.23973271362217,50.91157139746031,60.86969698457142,69.03655591087585,86.80711036340551,99.26773340554746,117.46743034583346,115.92152373871573,103.84413927681686,133.38393507398393,112.0101964566764,92.03901335244308,99.95080591956673,122.70061059404964,125.35432243684795,139.34457423267884,111.40333604807142,104.40970657753553,78.17443727752993,89.10019069273119,67.438952120485,49.549488276027944,56.74584114548759,71.6113820737358,69.38582855852678,77.3682436160459,84.89727795226918,81.88130192007458,66.5554251596671,74.46390485605207,83.04724452690323,95.56358617016684,99.9325161072714,83.57351731856085,93.23827957772937,93.21894445453262,86.46062023400583,82.33571851329384,72.67211801582852,85.11593091979051,65.26232464967023,51.353521562380365,46.750701176976634
12,in_sample,163.67895991435552,153.18520200770058,150.45340379021422,147.29735089954687,160.6569617060029,148.2184564137292,113.2184564137292,90.75485326244171,76.3586306845475,67.17894843858852,69.79939004720148,54.68227536979748,37.72686710615841,24.714603259028877,9.095447242791948,1.3325348226529172,0.0,9.646795437633358,0.0,0.0,0.0,11.324389664525938,9.164479800278087,23.87423392786681,7.741051463799494,7.049918945712022,0.0,0.0,0.0,24.260988615293115,12.32026537432725,10.535895628598524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.024618627651449,0.0,0.0,4.099812639132949,0.0,4.781341546251866,0.0,12.438294021050865,17.559504284362617,18.33881993349516,34.086272301776944,29.475385472464325,20.825399897997556,40.041019875358984,65.81174110664608,56.10361322099743,54.511207901488035,69.14180350714838,68.04777348179755,76.37201260412934
13,in_sample,245.91824336977191,232.22300360005033,234.3216497635189,213.8175366228166,195.44800319080292,178.68338682397763,175.52640524179196,172.9719706988243,176.50979829012033,185.79482774598029,181.07849481844806,181.58532240772485,166.2719473140619,147.44898897446137,126.46337612978505,135.55284534558024,130.82213547234483,104.62645179280321,103.74320645523267,86.2597078102275,109.50501127584909,101.40150717363349,110.94259097510121,126.18807335849101,112.81907502269246,113.88373466845837,121.63228528789244,123.24993170163395,128.30534233197142,109.69053082214327,117.44703789814662,110.64073917972871,115.53305630570668,128.41290014342718,137.776219248683,142.65829540553563,151.64809155211884,161.28584630656184,182.2228625659368,181.746152773458,184.04155068165142,197.090486007317,190.2250594706278,171.531314853136,178.43653729729476,175.55220571267154,158.64682194839037,165.65440895970806,185.6902711701175,162.8738755220703,177.18642545510102,142.18642545510102,136.5824126325598,162.34963540395592,157.75309872477578,159.01223626626967,169.69236307709946,145.66173388025032,146.67106109200688,147.57004409946518
14,in_sample,79.40370410402107,63.60964978473214,56.84543001056983,50.73029216906019,78.70881441550324,92.73274349571096,105.95325642536665,102.25213671617905,98.24374902116364,77.91987322844807,88.86423642111754,95.73900088844056,113.74296399393654,110.79134800695022,108.80643996014464,111.18707735999357,123.67364341709288,103.09062470772818,113.3954105800654,113.10847270964575,98.28755095829399,69.10307042113709,67.19243845484016,87.46042022067712,110.90600555505665,115.88127250443802,143.34935179822946,142.748176636835,156.09442635983396,149.77719391514398,142.5728101651659,133.08768252883698,104.24027726909662,122.2595689083534,113.27671476042116,102.05657184384842,85.53696830127097,82.67593618976304,107.36482853759941,136.67773244911746,113.42559618788829,108.46332424422036,93.98231546290856,107.81904383986983,111.83135350198484,102.91938291866717,103.93540604694141,97.2515453472335,119.85099066848204,127.5084238787066,136.88595177153672,101.88595177153672,100.95091026793335,130.1158636947598,148.68167067527338,122.82241647238914,118.43445481481882,101.61318229195672,125.56860413703691,128.98850008889963
15,in_sample,213.7120030731017,218.60538481963772,218.55976831435186,233.24547803213238,220.36562010177232,228.41096986851113,226.8167821349772,213.6141494086042,219.00845679858503,218.0842907831518,209.27662206511621,209.8646092851335,208.05118388201004,205.899550922765,200.1232468240138,181.85396727950285,182.90068310203105,171.66268186993125,157.37807772291433,154.00827990547782,164.28465152388833,166.88324063156205,159.44724971455582,151.44840490440583,160.3497905750486,126.79548980278724,137.95859965157996,111.72237880255523,91.9066680860335,84.70694644834833,115.08868444938014,138.57255548957988,148.46338407073978,153.45497736687605,127.38309981470138,129.57771409503118,121.88861283519157,110.45524216447347,112.62248542411868,106.02694529186488,118.19713893542877,91.0937721888514,92.14393210169516,79.83657097249852,74.10166936767882,78.36643924038822,62.724129163847294,65.02337911422183,62.050644241292105,52.80242812881568,46.214413324662814,44.05068684804587,33.30097567216089,33.40029832671945,29.5058256233944,20.94787010445694,43.20566137909873,49.01902029496142,43.66104903824004,45.703095069785945
16,in_sample,164.9915955782692,168.19769919289604,158.85952394513998,123.85952394513998,138.90101346360257,132.0572659187826,148.431667930331,153.3554366811503,170.159031615432,181.38552689696462,146.8797943702558,155.48833299772775,150.676876199125,166.98703282087945,175.26393775279462,183.70550428431312,179.8941051443976,167.11761845488854,161.0572010293012,135.85870936786796,127.59389708421492,107.09566969066287,86.96729843805355,88.59800229922047,96.0746874522759,95.62957872982287,88.64651176708526,75.3827974957403,70.94209560263437,59.43097302544595,58.551342635747574,37.249897798642905,47.06834389352309,39.129908184463375,44.397504788416086,56.8186127272528,61.40880507428682,72.59658012865998,43.663630448702975,36.763637156848574,52.20671049189576,59.33592402832289,85.21440974604337,109.0757364655816,113.27002634789051,109.74232568350322,96.32418370056536,89.66286378307188,83.94740706422078,75.6419183708768,62.78518990250217,68.40726212781078,92.16021762180208,105.2258123770257,100.71193156124116,114.90833542765108,119.76144756339545,119.19158665027965,117.74786849121597,114.9487065593803
17,in_sample,153.97099593472672,149.11623516325903,136.53210522077802,133.58664684630708,133.61076605305306,158.36181325479527,162.62773921500042,167.30531607676994,174.24390976983938,186.44922894121515,192.8091412951784,196.75312363711606,206.71058049700008,172.73769860536464,201.98442077126822,224.24063859725578,227.28053912328585,207.49844881756314,224.4433548724644,214.72908388555845,222.20285811760755,204.242179692611,235.41187627823473,215.22084160871407,216.1866465931451,186.4760255899842,185.89891125923572,179.94491838729988,195.8654859019834,189.9101738596973,205.8509040195459,191.51321607330453,187.5657536306781,183.898984259791,190.83721983865183,195.99446180835065,206.1056139772777,209.84124242333405,219.09964999591767,206.52955499421375,211.97273633055102,234.48761931479055,210.96772057136417,217.81383194092916,227.28874883206282,247.7453581166664,257.91001518272935,259.31443837295126,265.3354631100918,255.044933426233,249.61338041322455,230.9135406573966,251.73195385821572,258.03415632352755,245.20858187898295,249.00757935625916,265.2384472961798,279.1375398525412,266.1505992682116,231.15059926821158
