Hour,2024-01-01,2024-01-17,2024-02-11,2024-02-17,2024-03-04,2024-03-29,2024-04-05,2024-04-24,2024-05-31,2024-06-07,2024-06-27,2024-08-05,2024-08-14,2024-09-05,2024-10-03,2024-10-09,2024-10-29,2024-11-23,2024-11-30,2024-12-16
0,29.13,69.89,55.48,19.32,69.13,20.6,46.78,79.84,92.0,101.0,96.0,47.7,87.73,101.27,67.33,61.93,101.34,61.44,79.99,0.09
1,28.46,69.36,53.67,18.88,59.55,18.38,48.27,76.1,78.77,96.13,86.9,45.93,90.05,94.6,65.86,60.0,100.04,53.49,60.67,0.1
2,26.66,68.47,52.6,18.43,58.7,12.13,47.52,75.31,66.52,91.7,80.4,43.43,86.6,90.0,65.14,57.48,98.83,49.96,51.73,0.05
3,24.48,67.56,46.83,13.22,58.8,9.99,46.53,73.07,61.7,87.53,82.84,44.36,90.3,87.11,64.18,54.32,98.17,47.19,39.46,0.07
4,24.01,67.31,43.64,11.16,58.99,12.01,47.37,76.04,62.01,84.25,78.0,47.07,93.6,80.57,63.98,57.32,100.02,47.19,38.74,0.02
5,15.88,67.28,46.25,9.99,59.88,12.77,47.29,81.83,63.75,91.9,83.24,75.58,107.1,51.8,64.4,63.87,113.1,47.59,37.16,2.18
6,15.87,70.65,49.19,11.11,60.92,21.49,74.46,101.66,88.96,113.95,117.51,118.98,129.74,80.39,65.43,86.7,127.38,47.57,37.99,7.28
7,22.04,79.94,53.16,17.23,93.58,22.39,82.22,131.32,106.49,119.05,125.11,136.75,136.62,88.88,73.37,111.19,157.73,54.84,40.04,29.52
8,25.42,96.0,55.06,22.08,99.78,15.94,81.0,129.23,106.11,102.76,115.0,113.97,120.96,54.67,76.67,110.98,151.32,62.68,41.05,34.51
9,32.21,102.87,57.97,30.08,82.2,13.28,66.59,97.08,99.9,78.56,88.87,102.83,108.79,39.86,72.9,87.0,129.69,69.95,41.99,32.95
10,41.34,106.91,61.16,30.06,63.72,16.88,50.5,92.97,89.76,60.66,66.74,74.5,64.85,51.65,69.28,72.09,120.7,78.53,41.88,31.44
11,43.51,111.1,63.97,30.03,58.52,18.83,45.54,91.04,80.05,41.39,49.61,64.3,64.76,13.52,63.04,59.9,112.97,73.49,42.49,30.86
12,43.02,117.71,63.05,30.07,59.25,13.0,44.43,85.62,73.11,33.91,33.11,57.12,35.87,2.93,47.09,59.8,105.45,71.19,42.06,30.46
13,44.29,121.7,61.73,41.61,59.21,9.86,40.03,83.48,66.85,25.36,31.9,42.05,26.32,0.01,33.98,59.85,117.73,75.84,54.99,29.59
14,46.24,121.74,63.33,59.09,59.6,13.44,37.07,80.55,63.73,17.41,26.84,36.35,16.77,0.01,39.14,67.63,135.94,85.67,89.22,30.65
15,50.61,125.46,64.71,67.07,59.87,26.19,31.04,82.69,65.33,14.59,24.99,51.43,81.74,0.01,51.36,77.17,172.26,100.62,99.53,36.09
16,59.47,128.56,68.04,73.22,60.42,44.89,27.61,85.15,73.27,24.06,27.04,70.1,94.36,5.56,66.04,95.0,212.72,87.31,114.97,35.13
17,64.99,140.52,76.07,87.93,72.33,79.93,39.99,96.09,84.1,61.12,73.78,85.4,105.59,29.83,89.7,117.45,285.8,95.56,136.93,33.36
18,61.74,123.59,80.58,110.06,74.49,101.97,49.65,104.04,94.46,83.17,79.53,108.97,111.48,55.5,110.07,122.53,257.44,86.08,135.88,34.74
19,55.07,114.28,70.98,90.28,62.78,105.45,53.4,135.2,107.94,125.49,110.08,152.76,161.41,51.0,115.32,127.12,203.82,70.99,129.92,29.7
20,48.01,109.8,63.29,80.93,60.89,87.4,53.92,143.44,115.0,151.04,200.04,250.01,218.92,45.64,108.28,111.05,140.6,59.54,116.4,26.83
21,44.01,101.09,60.37,74.57,59.24,79.93,53.4,121.16,107.91,150.16,186.18,170.93,148.7,39.92,98.76,95.8,122.75,48.01,112.16,22.35
22,45.2,94.28,56.51,72.44,58.24,75.89,52.73,105.31,99.29,123.84,125.21,120.3,120.43,34.99,90.96,95.1,116.18,39.08,114.76,8.51
23,38.0,84.17,57.38,69.11,57.87,70.0,49.62,90.21,84.18,95.11,101.8,102.92,109.95,26.25,81.46,82.34,103.09,18.45,106.65,3.89
