Hour,2025-04-11,2025-04-30,2025-05-18,2025-06-05,2025-06-23,2025-07-11,2025-07-29,2025-08-16,2025-09-03,2025-09-21,2025-10-09,2025-10-27,2025-11-14,2025-12-02,2025-12-20,2026-01-07,2026-01-26,2026-02-16,2026-03-06,2026-03-24
0,238.2407037420083,68.41005782248966,255.2233395696913,189.77198316183348,58.21234088703692,84.98745132464492,100.08468949062505,175.80750444549486,110.48939833884799,45.853478740405606,100.83591845778862,164.49225939157736,328.0943488145502,79.4784068168614,244.59891099296857,162.4973203567141,73.72855539522206,193.12224628481815,84.83550236306434,315.321887545721
1,237.6627726588943,57.490803638585945,244.70270112254443,189.55098222637977,77.42736457560363,76.65946383955703,95.53903031940037,196.6163594210728,109.06993494946765,37.05125824386072,102.3432306669621,169.3341994153946,324.3707372523547,73.39395993372496,246.08986451723547,164.99742754244556,69.89578322911657,175.92226122022254,115.75822221653621,293.3032475058616
2,243.5037843174126,47.25569410492667,239.99561506080448,201.32980589335824,92.52582909983447,92.33517905778018,84.92752155220924,196.37495216872625,101.20562945956289,35.09276453508003,105.32517172612454,158.69032153296524,316.7841290462271,73.37163514298625,236.92066112159148,162.52197307494424,60.36088397199508,160.4947886106873,157.01704306182347,278.413046965549
3,252.00939027830012,37.58047550770967,231.5981641721235,194.3755846585594,109.34927792682231,96.66559749701759,88.12011839647062,191.19341841672858,104.17735836315754,32.151985279222096,96.49651008198538,149.43488145501786,301.42389303886546,71.45439287328126,244.1835662836563,168.92739238552565,51.63286302175191,152.48141075562478,191.956945639392,272.7312662075179
4,248.12194433997746,30.60957479315533,220.13447146866233,177.2673058933583,138.1814030481192,103.52375807504447,96.58118936682648,177.7342606973237,121.20838679181581,38.27025232403719,94.79448260580544,137.1213597488362,279.7680523979647,75.61379725862326,253.17698507974617,176.03568212999485,45.37205387205387,137.22596200006402,219.00145206119126,274.8410986001379
5,231.82264244076723,31.451262222640093,161.69638681010287,190.70539055191767,151.93732518979394,104.80619893308125,105.70964728655998,163.9084903324555,141.36476692101652,47.37189659441331,104.34273210724574,139.87983111399808,260.87230702609077,89.52294880898586,254.69419910821472,178.2914058480535,37.94556677890011,122.939447603401,258.5887766970832,291.12412316066917
6,209.39409787514106,26.881228845430613,105.5378858746492,207.1351730589336,108.35692676522632,90.65320638350553,100.26926193530961,154.8641591824791,162.28560334931464,64.11287055169154,114.22473964103698,157.77389845187832,249.53745804915013,111.54595141264821,256.31404347453264,176.20021222774824,33.10627438405216,111.75816379871343,285.8534377708622,268.45463276061906
7,160.51411479879658,16.302357559232796,86.64055191768009,248.44948550046774,107.0046806324562,79.90692596844262,82.84742386386657,138.30272131811736,165.62338217750465,74.83624822742928,110.59716374916907,173.60452527877015,226.13754465735627,142.81814171669572,254.0859200823186,180.64734822500424,30.0732456843568,111.00179224852512,290.6432940253332,241.7689712283028
8,122.73352294095527,13.164165334712298,113.59184985968194,253.17586529466791,127.18448541583425,94.32524140725235,73.27272829585613,107.28329619375604,148.14808562360727,81.07569721115539,117.9248836693995,168.4889574537187,194.0513694922594,155.16509586211347,269.4617132567313,180.80330346424282,31.244802522580297,105.17245057981371,275.33580247703304,220.3129797186253
9,105.75845007521626,12.310784129371946,139.9929840972872,231.73351262862488,140.38672298647185,118.12636459810474,90.18080221486935,110.60813244198349,140.23510477862564,85.93000877844554,128.07306669621093,165.75484464653024,150.35590559705534,167.27239472381814,263.24842436974785,187.10555650831762,43.162845385067605,105.24979463818981,234.74314935227622,214.1734311972608
